Match_No,Match_Between,Team_Innings,Batsman_Name,Batting_Position,Runs,Balls,Fours,Sixes,Strike_Rate,Out,Boundary_Runs,Match_ID
1,England vs New Zealand,England,Jonny Bairstow,1,33,35,4,1,94.3,1,22,ODI # 4658
1,England vs New Zealand,England,Dawid Malan,2,14,24,2,0,58.3,1,8,ODI # 4658
1,England vs New Zealand,England,Joe Root,3,77,86,4,1,89.5,1,22,ODI # 4658
1,England vs New Zealand,England,Harry Brook,4,25,16,4,1,156.3,1,22,ODI # 4658
1,England vs New Zealand,England,Moeen Ali,5,11,17,1,0,64.7,1,4,ODI # 4658
1,England vs New Zealand,England,Jos Buttler,6,43,42,2,2,102.4,1,20,ODI # 4658
1,England vs New Zealand,England,Liam Livingstone,7,20,22,3,0,90.9,1,12,ODI # 4658
1,England vs New Zealand,England,Sam Curran,8,14,19,0,0,73.7,1,0,ODI # 4658
1,England vs New Zealand,England,Chris Woakes,9,11,12,1,0,91.7,1,4,ODI # 4658
1,England vs New Zealand,England,Adil Rashid,10,15,13,0,1,115.4,0,6,ODI # 4658
1,England vs New Zealand,England,Mark Wood,11,13,14,0,0,92.9,0,0,ODI # 4658
1,England vs New Zealand,New Zealand,Devon Conway,1,152,121,19,3,125.6,0,94,ODI # 4658
1,England vs New Zealand,New Zealand,Will Young,2,0,1,0,0,0,1,0,ODI # 4658
1,England vs New Zealand,New Zealand,Rachin Ravindra,3,123,96,11,5,128.1,0,74,ODI # 4658
2,Pakistan vs Netherlands,Pakistan,Fakhar Zaman,1,12,15,3,0,80,1,12,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Imam-ul-Haq,2,15,19,2,0,78.9,1,8,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Babar Azam,3,5,18,0,0,27.8,1,0,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Mohammad Rizwan,4,68,75,8,0,90.7,1,32,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Saud Shakeel,5,68,52,9,1,130.8,1,42,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Iftikhar Ahmed,6,9,11,1,0,81.8,1,4,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Mohammad Nawaz,7,39,43,4,0,90.7,1,16,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Shadab Khan,8,32,34,2,1,94.1,1,14,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Hasan Ali,9,0,1,0,0,0,1,0,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Shaheen Afridi,10,13,12,2,0,108.3,0,8,ODI # 4659
2,Pakistan vs Netherlands,Pakistan,Haris Rauf,11,16,14,2,1,114.3,1,14,ODI # 4659
2,Pakistan vs Netherlands,Netherlands,Vikramjit Singh,1,52,67,4,1,77.6,1,22,ODI # 4659
2,Pakistan vs Netherlands,Netherlands,Max O'Dowd,2,5,12,1,0,41.7,1,4,ODI # 4659
2,Pakistan vs Netherlands,Netherlands,Colin Ackermann,3,17,21,3,0,81,1,12,ODI # 4659
2,Pakistan vs Netherlands,Netherlands,Bas de Leede,4,67,68,6,2,98.5,1,36,ODI # 4659
